Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description\
t7,2-4,0,---,4(1-2)\'a0.FSBS,O,COL,Trevor\'a0Story,Clayton\'a0Kershaw,3%,85%,Strikeout Swinging\
t7,2-4,1,---,4(1-2)\'a0SFBS,O,COL,Dustin\'a0Garneau,Clayton\'a0Kershaw,2%,88%,Strikeout Swinging\
t7,2-4,2,---,5(2-2)\'a0.FBBFS,O,COL,Cristhian\'a0Adames,Clayton\'a0Kershaw,1%,89%,Strikeout Swinging\
b1,0-0,0,---,2(0-1)\'a0FX,O,SFG,Hunter\'a0Pence,Clayton\'a0Kershaw,2%,47%,Groundout: P-1B\
b1,0-0,1,---,1(0-0)\'a0X,,SFG,Christian\'a0Arroyo,Clayton\'a0Kershaw,-2%,45%,Single to LF (Ground Ball thru SS-3B Hole)\
b1,0-0,1,1--,4(0-2)\'a0CCFX,O,SFG,Eduardo\'a0Nunez,Clayton\'a0Kershaw,3%,48%,Groundout: 3B-2B/Forceout at 2B\
b1,0-0,2,1--,2(1-1)\'a0B>F11,,SFG,Buster\'a0Posey,Clayton\'a0Kershaw,-1%,47%,Nunez Steals 2B\
b1,0-0,2,-2-,7(3-2)\'a0B>F11..*BBFFB,,SFG,Buster\'a0Posey,Clayton\'a0Kershaw,-1%,46%,Walk\
b1,0-0,2,12-,5(2-2)\'a0C*BBSX,O,SFG,Brandon\'a0Crawford,Clayton\'a0Kershaw,4%,50%,Lineout: LF (Deep LF)\
b2,0-0,0,---,2(0-1)\'a0FX,O,SFG,Nick\'a0Hundley,Clayton\'a0Kershaw,2%,47%,Flyball: RF (RF Line)\
b2,0-0,1,---,2(0-1)\'a0CX,O,SFG,Joe\'a0Panik,Clayton\'a0Kershaw,2%,49%,Groundout: 1B unassisted (2B-1B)\
b2,0-0,2,---,2(1-0)\'a0BX,O,SFG,Drew\'a0Stubbs,Clayton\'a0Kershaw,1%,50%,Popfly: 2B (Short CF-RF)\
b3,0-0,0,---,4(2-1)\'a0BBCX,,SFG,Ty\'a0Blach,Clayton\'a0Kershaw,-7%,38%,Double to LF (Fly Ball to Deep LF-CF)\
b3,0-0,0,-2-,4(1-2)\'a0FS*BX,,SFG,Hunter\'a0Pence,Clayton\'a0Kershaw,-7%,31%,Single to 2B (Ground Ball); Blach to 3B\
b3,0-0,0,1-3,4(1-2)\'a0CFBS,O,SFG,Christian\'a0Arroyo,Clayton\'a0Kershaw,6%,37%,Strikeout Swinging\
b3,0-0,1,1-3,3(0-2)\'a0CFS,O,SFG,Eduardo\'a0Nunez,Clayton\'a0Kershaw,7%,44%,Strikeout Swinging\
b3,0-0,2,1-3,2(0-1)\'a0CX,R,SFG,Buster\'a0Posey,Clayton\'a0Kershaw,-11%,34%,Single to CF (Ground Ball); Blach Scores; Pence to 2B\
b3,1-0,2,12-,4(1-2)\'a0BFFX,O,SFG,Brandon\'a0Crawford,Clayton\'a0Kershaw,4%,38%,Groundout: P-1B (Front of Home)\
b4,1-2,0,---,3(0-2)\'a0CSX,O,SFG,Nick\'a0Hundley,Clayton\'a0Kershaw,3%,60%,Flyball: RF (RF Line)\
